Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-May-21,101.55,102.45,100,100.4,101.5869729,940132,6912,95505164,496549,52.82,2.45,-1.15
26-May-21,101,101.4,99.1,99.35,100.0885635,596047,5790,59657488,273358,45.86,2.3,-1.65
27-May-21,99.45,100.05,94.4,95.2,95.66750095,3610684,31845,345425115,1917722,53.11,5.65,-4.25
28-May-21,96,97,90.8,91.95,93.17578148,3703257,36291,345053865,1837951,49.63,6.2,-4.05
31-May-21,93,94.4,92.1,92.5,93.26914563,940959,8868,87762442,416573,44.27,2.3,-0.5
01-Jun-21,94.3,97.1,91.9,95.4,95.32874501,2536872,11276,241836824,738777,29.12,5.2,1.1
02-Jun-21,95.7,99.4,95.45,96.45,97.50670931,4631326,34095,451585358,2769459,59.8,3.95,0.75
03-Jun-21,97.45,101.25,97,100.8,100.0019796,7854264,49734,785441948,4110663,52.34,4.25,3.35
04-Jun-21,101,105.8,99.3,105.8,104.7519049,8746193,44330,916180377,5093757,58.24,6.5,4.8
07-Jun-21,112,126.95,111.5,126.95,122.626443,12294636,87158,1507647481,5214518,42.41,15.45,14.95
08-Jun-21,134,152.3,131.75,151.9,145.9304517,22667088,166392,3307818390,6573343,29,20.55,17.9
09-Jun-21,156.4,167.05,138.2,152.35,157.8011754,29848097,247465,4710064791,8723814,29.23,28.85,-4.05
10-Jun-21,157.55,164,153,155.8,157.3373872,7894022,86617,1242024796,4071558,51.58,11,-1.75
11-Jun-21,158.95,159.45,147,148.3,150.3998347,5448322,91234,819426728,2759687,50.65,12.45,-10.65
14-Jun-21,140.9,140.9,140.9,140.9,140.8999992,857113,18532,120767221,857113,100,0,0
15-Jun-21,133.9,137.5,133.9,133.9,133.9431528,1762128,21965,236024980,1762128,100,3.6,0
16-Jun-21,127.25,127.25,127.25,127.25,127.2499973,277659,7493,35332107,277659,100,0,0
17-Jun-21,120.9,120.9,120.9,120.9,120.8999963,213842,5846,25853497,213842,100,0,0
18-Jun-21,114.9,114.9,114.9,114.9,114.8999986,361485,8227,41534626,361485,100,0,0
21-Jun-21,109.2,120.6,109.2,120.6,111.3454421,3927668,35085,437327930,3927668,100,11.4,11.4
22-Jun-21,125.7,126.6,124.9,126.6,125.9842958,944907,7489,119043443,944907,100,1.7,0.9
23-Jun-21,132,132.9,120.3,126.8,127.8956874,2308925,26036,295301550,2308925,100,12.6,-5.2
24-Jun-21,126.9,126.95,120.5,120.5,121.1071661,1255873,22391,152095220,1255873,100,6.45,-6.4
25-Jun-21,114.5,121,114.5,116.8,116.6582412,1325552,25014,154636565,1325552,100,6.5,2.3
28-Jun-21,114,121,111,118.15,114.6975392,1586338,26829,181949065,1586338,100,10,4.15
29-Jun-21,121,121,116,116.6,117.6834807,356626,5734,41968989,356626,100,5,-4.4
